# time	pulse
9.243731969999999798e-01	5.847956999999999114e-03
9.282900320000000427e-01	4.851442000000000081e-03
9.322068679999999663e-01	3.988947000000000499e-03
9.361237040000001119e-01	3.250466999999999940e-03
9.400405390000000638e-01	2.624599999999999937e-03
9.439573749999999874e-01	2.099356000000000139e-03
9.478742100000000503e-01	1.662757999999999858e-03
9.517910459999999739e-01	1.303258999999999971e-03
9.557078809999999258e-01	1.010033999999999932e-03
9.596247170000000715e-01	7.731519999999999322e-04
9.635415529999999951e-01	5.836689999999999847e-04
9.674583879999999469e-01	4.336559999999999829e-04
9.713752240000000926e-01	3.161840000000000071e-04
9.752920590000000445e-01	2.252719999999999939e-04
9.792088949999999681e-01	1.558209999999999977e-04
9.831257309999998917e-01	1.035329999999999860e-04
9.870425659999999546e-01	6.480000000000000300e-05
9.909594019999999892e-01	3.670000000000000437e-05
9.948762370000000521e-01	1.680000000000000178e-05
9.987930729999999757e-01	3.199999999999999855e-06
1.002709907999999928e+00	-5.759999999999999909e-06
1.006626744000000073e+00	-1.130000000000000023e-05
1.010543579999999997e+00	-1.430000000000000200e-05
1.014460415000000060e+00	-1.550000000000000068e-05
1.018377250999999983e+00	-1.559999999999999972e-05
1.022294086000000046e+00	-1.480000000000000229e-05
1.026210921999999970e+00	-1.369999999999999758e-05
1.030127757000000033e+00	-1.230000000000000082e-05
1.034044592999999956e+00	-1.080000000000000163e-05
1.037961429000000102e+00	-9.269999999999999337e-06
1.041878264000000165e+00	-7.880000000000000787e-06
1.045795099999999866e+00	-6.610000000000000241e-06
1.049711934999999929e+00	-5.470000000000000144e-06
1.053628770999999853e+00	-4.480000000000000305e-06
1.057545606999999999e+00	-3.639999999999999878e-06
1.061462442000000062e+00	-2.919999999999999995e-06
1.065379277999999985e+00	-2.319999999999999810e-06
1.069296113000000048e+00	-1.830000000000000055e-06
1.073212948999999972e+00	-1.430000000000000073e-06
1.077129784000000035e+00	-1.109999999999999960e-06
1.081046619999999958e+00	-8.520000000000000589e-07
1.084963455999999882e+00	-6.479999999999999791e-07
1.088880290999999945e+00	-4.879999999999999229e-07
1.092797127000000090e+00	-3.639999999999999772e-07
1.096713961999999931e+00	-2.689999999999999868e-07
1.100630798000000077e+00	-1.960000000000000081e-07
1.104547634000000000e+00	-1.410000000000000053e-07
1.108464469000000063e+00	-9.990000000000000120e-08
1.112381304999999987e+00	-6.960000000000000119e-08
1.116298140000000050e+00	-4.750000000000000182e-08
1.120214975999999973e+00	-3.159999999999999841e-08
1.124131811000000036e+00	-2.029999999999999649e-08
1.128048646999999960e+00	-1.240000000000000019e-08
1.131965482999999884e+00	-7.020000000000000987e-09
1.135882317999999946e+00	-3.449999999999999874e-09
1.139799154000000092e+00	-1.159999999999999923e-09
1.143715989000000155e+00	2.469999999999999742e-10
1.147632825000000079e+00	1.040000000000000131e-09
